building_id,meter_reading,site_id,primary_use,square_feet,year_built,floor_count,energy_per_sqft,night_energy,energy_score,night_score,waste_score
1282,557.66437,14,Healthcare,12500,,,0.0446131494140625,559.1093,100.0,13.108555,65.24342203140259
803,3613.6199,7,Education,182986,1962.0,3.0,0.019748067464433753,3521.204,44.26512748774685,82.55612,59.58152598605631
54,329.2066,0,Education,7867,2011.0,,0.04184652396134565,313.869,93.79863226637666,7.358792,59.2226960910882
621,16.581238,4,Parking,387,1955.0,1.0,0.04284557569242571,15.371378,96.0379983371458,0.36038846,57.76695438539752
801,4650.1685,7,Education,484376,1952.0,5.0,0.009600327962226143,4265.2246,21.519054557488886,100.0,52.91143273449333
1088,3430.5916,13,Education,287594,,,0.011928592226313397,3115.4868,26.737839365703664,73.043915,45.26026915592122
404,180.29361,3,Public services,5783,,,0.031176484457745225,177.55554,69.88182826634987,4.162865,43.594243072251935
794,4125.028,7,Education,731945,1969.0,11.0,0.0056357073714982,3387.3064,12.632390776074129,79.41683,39.34616763520014
1,74.865395,0,Education,2720,2004.0,,0.0275240421295166,73.54438,61.69490944040089,1.7242792,37.706657354189566
223,2496.6824,2,Education,261188,,,0.009558947474795455,2454.7573,21.426300542194813,57.552826,35.876911840819815
285,452.47403,2,Utility,21958,,,0.0206063407205126,831.4679,46.188939788270766,19.494118,35.51101087232159
38,301.43085,0,Office,12769,2013.0,,0.02360645682261483,297.70013,52.91367485294335,6.9797063,34.54008742671962
44,7.1735215,0,Retail,283,1985.0,,0.025348132574937367,5.7519946,56.817626434925906,0.13485795,34.144519044228616
797,3106.0688,7,Education,764237,1979.0,13.0,0.0040642743647013296,2508.2903,9.110036879441267,58.807926,28.989192598856167
795,2429.2568,7,Education,387500,1960.0,6.0,0.006269049899193548,2172.345,14.052022736636212,50.93155,28.803833270887978
0,146.45497,0,Education,7432,2008.0,,0.019705997216560356,146.97931,44.1708273802092,3.4459922,27.880893296831267
1425,82.351746,15,Utility,4071,1990.0,,0.02022887388982283,40.189648,45.34285105513419,0.94226336,27.582615984957727
16,809.17926,0,Education,54644,1996.0,,0.01480819962400092,797.0372,33.192455180788535,18.686874,27.39022315043479
